"Fuente","Título","Autor","Editorial","ISSN-e","ISSN","ISBN","Volumén","Número","Páginas"
"Artículo","Using Data/Getting Results: A Practical Guide for School Improvement in Mathematics and Science (Book)","","Teaching Children Mathematics","","","","","","61-62"
"Artículo","Probability Theory: The Logic of Science/The Fundamentals of Risk Measurement/The Elements of Statistical Learning: Data Mining, Inference and Prediction","James Franklin","Mathematical intelligencer","","","","","","83-85"
"Artículo","Data commentary in science writing: using a small, specialized corpus for formative self-assessment practices","Lene Nordrum, Andrea Eriksson","Learner Corpora in Language Testing and Assessment / Marcus Callies (ed. lit.)","","","","","","59-83"
"Artículo","Two More Schools Create Master’s, Doctoral Data Science/Analytics Programs","","AMSTAT news: the membership magazine of the American Statistical Association","","","","","","32-35"
"Artículo","Combining life cycle assessment with data science to inform portfolio-level value-chain engineering: : a case study at PepsiCo Inc.","Christoph J. Meinrenken, Beth C. Sauerhaft, Anthony N. Garvan, Klaus S. Lackner","Journal of Industrial Ecology","","","","","","641-651"
"Artículo","Book Review of Science Projects, How To Collect, Analyze, and Present Your Data; Science Projects, Book 1. Project Ideas in the Life Sciences; Science Projects, Book 2. Project Ideas in Chemistry and Biochemistry; Science Projects, Book 3. Project Ideas in Physics and Engineering","James W. Jetter","Journal of chemical education","","","","","","908-909"
"Artículo","Ecologically relevant data are policy-relevant data","Chelsea M. Rochman","Science","","","","","","1172-1172"
"Artículo","Where are the data?","","Scientific American","","","","","","40-41"
"Artículo","Data Stewardship in the Earth Sciences","Robert R. Downs, Ruth Duerr, Denise Hills, Hampapuram K. Ramapriyan","D-Lib Magazine","","","","","",""
"Artículo","DATA POINTS","Yudhijit Bhattacharjee","Science","","","","","",""
"Artículo","DATA POINT","Yudhijit Bhattacharjee","Science","","","","","",""
"Artículo","Data Dump","David Malakoff, Pallava Bagla","Science","","","","","",""
"Artículo","Sleep science.","","Scientific American","","","","","","4-4"
"Artículo","Android Science.","Tim Hornyak","Scientific American","","","","","","32-34"
"Artículo","La communication de la science","Agílio Pádua","Arquivos do Centro Cultural Calouste Gulbenkian","","","","","","131-145"
"Artículo","Network Science","Zoltan Toroczkai (res.)","Physics today","","","","","","55-55"
"Artículo","Gun science.","Michael Shermer","Scientific American","","","","","","83-83"
